Comment,Label
duh telat min,Negatif
@jhendy_ wkwkwkwk telponi dlu firaun..3 minggu larut sampai kemanaa hahaaa kasi kbjb,Negatif
wkwkwk supan klo menelponi🤣,Negatif
@jhendy_ Koler Minin Menganyangi Firaun....Wkwkwkwkwkkwlwkw,Negatif
Ini sudah diberi hati minta jantung yaaa 🤣,Negatif
ini dimana lokasinya,Netral
Brpa satu kotak nya ka...,Netral
@aueliarahman yg cup 25. Seperempat 65. Stengah kilo 130 😊,Netral
cara pesan gimana,Positif
"Aamiiin YRA, makasih kakakss keantagonisannya masih kalah sama @nunikfitriyanti 😂😂😂😂. Semoga mandainya selalu melekat dihati semua customernya, orderan lancar jayaaa. Buruan daptarrrrr lahh biar adek ga kualat ke kakaksss😂.",Positif
"Oh iyaaa, terimakasih @kawan_nasi yg sudah benar2 menyembuhkan trauma mandai yg amat mendalam😂😂😂. Akhirnya bisa ngaku org Banjar, karna udah bisa makan mandai😂😂😂.",Positif
Istri idaman min,Positif
masih kd bisa ka,Negatif
Very good photo because of the composition. I think just need some lighting in this photo then great! 😉,Positif
Aku jugaaa mauu..dm wa dong,Positif
"Poto dimana kak, bagus pic nya",Positif
"Hallo kak, cek ig kita yuk. Lagi ada special promo nih",Positif
Pretty cool,Positif
Kak harga berapaan dan klo ongkir ke jakarta berapa,Netral
@yulionestevan1995 bisa lgsg dm kita ka😊,Positif
Lfl? I'll be checking 😉,Netral
Sis brpan harga ikan asin telang y.,Netral
@ellynqueen84 bisa dm kita ya kak🤗,Positif
Mau dong pesan manday sma ikan asin telang nya,Positif
Nice Pict ?,Positif
Mau dong KK,Positif
Lb,Netral
Mau pesan lewat mana????,Positif
@mrd_dyana bisa DM mba 😊,Positif
dimana ini bejual,Netral
@immaasyfa dibanjarbaru mba..utk tanya2 dan pemesanan boleh dm mba 😊😊,Positif
@kawan_nasi kada bisa dikirim ke jogja kah,Negatif
@immaasyfa bisa mba..itu yg diatas paket k jogja😊😊,Positif
@kawan_nasi brp kah,Netral
@kawan_nasi kna lah,Netral
Super,Positif
Mantaaap tu pang😋😋😋,Positif
@farisilenoz @sayidiqbal_ nah yg km cri,Netral
Semoga diberikan kelancaran usahanya 😍😍.,Positif
Mauuu !!!!,Positif
@inarachmadianty capcussssss dm.,Positif
@seleramasakannusantara amiinn makasih min 🤗🤗🤗,Positif
Ready akan ini say..🙏,Positif
Hey! Nice gallery you have 😊 I mean I liked it 👌,Positif
Kak bisa order kah?@kawan_nasi,Positif
Ap ini ka?,Netral
@icaa.naa belut de 🤗,Netral
tekena zonk ulun pinanya,Negatif
msh blum mba..,Negatif
@kawan_nasi mandai ny brp mba,Netral
"@ria.nadhria yg cup 25, seperempat 65, pedas 130",Netral
Yuk kak mampir😊,Positif
"Keliatanya bahagia banget ya kak , btw jangan lupa mampir ke ig ku ya, ada kue yang super renyah",Positif
Brpa min,Netral
@nufiasuryani satu slice 30rbu ka 😊😊,Netral
iya ka,Netral
@mlephiuno wkwkwkkw doakan kawan ansi bisa ekspansi sampai ke kaltim 😁😁,Positif
brp lin,Netral
"Eliiin,  mauuu, bs kirim2 gtu kah?  Hehehe..",Positif
@roselina_ucha ga bisaa uchaa..ga sanggup dia bertahan 2 hari tanpa dikulkaskann 😂😂😂,Negatif
@rabiathul 30 perslice mba..🤗🤗,Netral
Ternyamann dasar kaa. Ulun smlm nukar kd cukup se slice wkwkk,Positif
@riskayunida 😁😁😁 terimakasih sdh mampir..🤗🤗 ditunggi kedatangannya kembali 😋😋😋,Positif
lin sisai satu lah bingka nya yg kentang,Positif
@upalboy oke di keep kan pak dokter 🙌🙌,Positif
agar2 lapis surabayanya mbak...brp x kesana kehabisan trz...,Negatif
"@veranieka_kimi puding catur ya mba?? Nanti sya storykan yg ready, mbak nya dm aja ya mba yg mana..nanti mimin keep kan 😊😊",Positif
brp.mba,Netral
Yg ini 35 mba 🤗🤗,Netral
Dimana alamat nya,Netral
"@masitah_eryani samping kntor PLn banjarbaru say. Jalan panglima batur barat no. 1. Bisa di search di google maps ""UD. Ulin Bamega""",Netral
Kaki kambing jar @jual_belikambingbjm 😋,Netral
Brp mandaix,Netral
Yg cup 25. Seperempat 65. Stengah kilo 130 mba🤗🤗,Netral
Brp,Netral
Uln Doakan semoga msuk alfamart  jua,Positif
@susanangriani248 aammiinn makasih mbaa 🥰🥰,Positif
Udah gak di SM pinus skrg,Negatif
@rabiatul.awwaliyah ada mba..baru di restok..kita restok setiap hri kamis 🥰🥰,Positif
@rabiatul.awwaliyah nggih betul 😊😊,Positif
Mba kesamarinda berpa ongkir nya,Netral
Berapa ka,Netral
@whulanahmad 53 per 200 gr de 🥰🥰,Netral
Uhghhh!!! Liatnya aja udah ngiler🤤🤤🤤,Positif
@yuyutpw langsung kirim ke jepang,Positif
Berapa,Netral
@rw.memotret 53K/200gr ka 😊,Netral
Sdh bisa d order kah,Positif
Brp ka ini ?,Netral
@vinabolamm08 harga promo 22k 🤗🤗🤗,Positif
Mauuuuuuuuu,Positif
Mama muda 😍,Netral
"@juwwiee mama muda, mamanya para remajaa..kitu kah pong? #benyanyi",Netral
Mauu paang.. bisa pake shopee kh?,Positif
@yessi_yulia bisa dongg...tunggui bumbu masak habang nah yank sehri lgi..klo oke langsung capcus. Eh tp gratis ongkir jua pang wkkwkww..,Positif
"@kawan_nasi ada bumbu lontong jua lh? 😄
Nyaman buka puasa menu banjar semua",Positif
hadang mamikirakan dlu lahh ,Negatif
@kawan_nasi hahahaaa 😂,Netral
Mau pesen masih ada kah lin?,Positif
DM ka..klo komen lambat tebalasi,Negatif
@novitabarumun @devinazain @heny_arsyitha  uji nyali 😂,Negatif
Pokoknya sampe jempolnya jg gurih 😄😍@kawan_nasi,Positif
@dwi_sakia wkkwkwkwkwwk eyaaaa sus maker sus maker sus makerr 🤣🤣🤣,Netral
@kawan_nasi 😆😆,Netral
"@nisa_kael04 @ainamahrita @nnisa_1230 harus nyobain sita sitakuuhhhh mandai, asam manis telang dll. Kepoin ig nya deh..mana sampe ke luar negeri lg teruji kedahsyatannya rasanya, apalagi yg jual d bjb juga. Gak jauh lah sama bjm aq aja d kapuas nyampe xexe. pake shopee juga bisa yg mau gratis ongkir. 🤩.. ini pendamping nasii ter enyaaakk enyaaakk enyyaaakk..cobain deh beli di @kawan_nasi mimin nya juga ramah baiik banget. 😄. Dah tasnya buat aq aja mba mimin.",Positif
"@agensr12_pulangpisau @hanafitri.ninutita @mayahasansr12 .. Mak cobaiin mak, ada menu walut nya jua😍 Ulun sudah coba peyek n mandai pedas manisnya 👍👍.. proses n pengemasan higienis..",Positif
@dwi_sakia hahahaha.... Kikira be nyali kah .... Kada kah... 😅,Negatif
Bagi anak kost kaya aku lwn ibu2 muda yg kd hdk ribet beolah bumbu habang🤭 ini solusinya 😍😁 @lolytafitriyani @maya_sarah06 @lana_yulianti,Positif
Masakan nya enak enak.. pasti bumbu nya nggak kalah sedap nya.. apalagi org yg jual nya cantik juga... yuk cobain mak @hanis_doank  @mutiearahmah @mellia57_,Positif
@anita_inal uwu,Netral
@nisa_kael04 auuuwooo,Netral
@nisa_kael04 jangan pake bahasa tarzan wkkw.,Negatif
"Masakan nya niti dijamin enaaak barataan,,,masakan urang banua(kalimantan)kita,, ada mandai talang,masak habang jua😍 maka penjualan nya nie sudah sampai kaluar kota lwn luar negri,,,hen kyp lg pasti dah nyman bnr msakan nya,,dikawani lwan nasi apalagi nasi yg panas hnyr masak beeh kw berapa kali btambah nasinya😁 mun handak marasani lakasi nukar di @kawan_nasi pesen lewat shopee bisa juga tahan kd ubah rasanya,,@aauazha @jauharatul_medina @baby_a_muhammad (barelaan ulun pakai bahasa kampung hj😄) mudahan rajaki ulun dapat tas nang langkar tu😍,,Aamiin dan mudahan @kawan_nasi Makin sukses dan berkah usaha dgangan nya🤗Aamiin",Positif
Uyyy @kawan_nasi bl uln  b'rezeki dapat tas tuh slajuran lah buati akan bumbu tuh dalam tas 😂😂😂 bl masih muat buat akn jua mandai nya *eh telang asam manis nya gen jua skaliyan lah 😅 kasiii jinguk @kawan_nasi  neh pasti buhan pian mnaguk liur trus puasa @tiaastu @bukan_bidadarisyurga @amaykokom 🤤,Positif
"Gak usah lah dipuji2 lgi yekaaan.. @kawan_nasi mah juaraaa, pelopor mandai packingan yg rasa tiada tara, ga abal2 ga kaleng2an dan ga niru2an uppsss 😝😝 sukses selaluu yaakkk, nii loh ada give awaynya mbk @indahilestari @dinarosdiyana @adwijayanti mana tau rejekii di bulan Ramadhan.",Positif
"@tetymanru Aku skrg emak², nunggu giveawaynya dpet paket bumbu atau produk kawan nasi yg lain 🤤🤤🤤🤤🤤 yg semua rsanya menggiurkan dan bkin nagih 🤤🤤🤤🤤",Positif
"Mauuuu.. Kalau belum rezekinya dapat giveaway, beli pun Insyaallah ikhlas atuh ka.. Mugi2 kawa dikirim ke jakarta lah ka, kawa insyaallah pang, secara produk2nya @kawan_nasi sudah melanglang buana sampai ke eropah 😍😍😍 *Nasib perantauan karindangan masakan banjar tapi hampir dipastikan kada mudik lebaran tahun ini 😢😢 @nadiafarahnaz @dnasaurs @grumpy.anp",Positif
Nd langganan mandai sidin mulai 2018... mandai rasa daging ya di @kawan_nasi ni 🤣... klo pina nd berezeki nah nd tag bhn nya @rmdhh__ @unaahsn_ @rbya_ @mrssqmrh,Positif
Olahan dari @kawan_nasi paling d best dah bagi u. Rasa di jamin mantul. Dari awal kda suka mandai dan telang. Akhir nya jdi makanan favorit ya kan😍😍yang suka pedas cus di lirik say lah @rusmina___ @sendy_lionteam @melyf_anggraini,Positif
"Amun hndak tahu kyapa rasanya makanan di @kawan_nasi lakasi di order mandai , iwak telang , baby cumi behhhh makanannya kd pang mndustakan . Rugi bnr kda merasai olahan sidin nii , ini pulng bjual bumbu masak jdi hndk bemasak tinggal nukar ayam dipasar bumbu habang nukar disini . Praktissss cuyyyyyy lakasiiii rasaiiii @beq_nurul @nuruljannah45 @uswatunhasanah.se",Positif
idola topppp🔥,Positif
Namanya juga kawan nasi...pasti sudah terkenang d hati...jangan lupa untuk d beli...ni makanan udah sampai bekasi... @bayurusly @al_sara.parfum @putri_4050 ini dia makanan khas kalimantan yg enak smpai pengen lagi n lagi ..❤️❤️❤️,Positif
@nrhidayatikac @rahayuuu_n @maulida_nl semua masakannya nyaman banar👌🤤,Positif
Pokonya semua yg dijual kakanya semua pasti recomended 🤤❤️💛 @rh_3004  @fuji_fitriaffh30  @kania_roeslan,Positif
"Nyamaaaaan banaaaaar masakan sidin nih habis dah kisah, peyeknya juaraaa👍 @salsabilaprima @miel_2_2 @fiiachristi",Positif
@anggia.dh mudahan dapat give awat umanya 😘,Positif
Tambahe lagi hastagnya ka,Netral
@tenteg11 biar mewwriyahh,Positif
Brp ini mba,Netral
Brp?,Netral
cek DM ya ,Netral
"Berapa harganya min, dm.dong",Netral
@arisdwi.wa boleh kaa mimin dm yaa,Positif
Berpa kak hrgany,Netral
tahun depan harus mau bikin lebih byk lgi ya..aku cuma dbolehin 3 itu pun maksa 🙈..tengkyu yg sudah mau aku repotin 💋💋,Positif
Unyu,Positif
@ririeapriana wkwkkwkw aammmiinn..berkah berkah berkah..makasih jua beb lahh ❤❤,Positif
warnanya aku banget khaann,Netral
",. 87JB",Netral
Elin.. kawakah dikirim ke jkt? Kd sanggup lg aku handak makan makanan banjar. 😂,Positif
@mendyways uuu tiara..kd bisi no ku kahh..jg mengomen disini wkwkkwkww,Positif
@kawan_nasi bisi mwhahaha aku chat lah ibuk,Positif
Nyamannya aeee,Positif
@anggreheny nggihh dasar bujur nyaman 😁😁😁,Positif
Bs lh sirup kuda dikirim jua...😅😅,Positif
@anggiakusumapratiwi bisaaaaa...unda palugadaa..apa lu perlu gue adaa 🤣🤣🤣,Positif
Iihh ... mamamnya tangan kiri na 🤭,Positif
@dwi_sakia tangan kanann kaaa..menangis naa uluunnn 😭😭😭,Negatif
@kawan_nasi 😆😆,Netral
@dwi_sakia itu karna pakai kamera depan kah ka jadi kelihatan tangan kiri iya kah,Positif
@neng_fitri_masraina nggih mba..hehee itu video live di simpan 😁😁,Positif
"Wah,, aku sering beli juga ini 😍 🔥",Positif
Aamiin..Aamiin...sukses sis 😇😇,Positif
"@nonadzoh aamiin, terimakasih❤️",Positif
😍 aamiin... So inspiring... Mdh²an bs sukses ky elin 🥰,Positif
@andi.sitti.khadijah aamiin😍,Positif
thank you! sukses terus kakakkk. XoXo ❤️,Positif
@papalapar sama-sama papa 🥰🥰,Positif
"Sukaaa... bagus vlognya, ditambah backsoundnya yg pas bangett,, jadi lebih ngena, untuk orang awam kaya aku jadi bisa ikut ngerasain progressnya kawan_nasi, pelan tapi pasti, akan mnjadi besar, insyaAllah... sukses terusss kawan_nasi, ditunggu vlog selanjutnya 😊",Positif
@amelia_faradila aaaaaakkkk terimakasihh 😭😭😭😭 aamiinnn aammmiinn ya Allah..terimakasihhh 😭😭😭,Positif
Yeayy klo kepepet bisa nyari kesna🤣,Positif
@rabiathul_a siappp langsung kaa..cusss 🚴‍♀️🚴‍♀️🚴‍♀️,Positif
Ayy bisi vlog,Netral
@nisa_patma hayyy temaann..ak msh ngutang 20rbu yaa...km menagih lo ni?? 😂😂😂😂,Negatif
@kawan_nasi buut ny meumbar hutang...wkwkwkwkw...ayuja kena nda besinggah bulik begawi,Negatif
@nisa_patma wkkwkw takutan nda tekalang dkubur 😂😂😂😂,Positif
Ye bisa beli dipinuss 😂,Positif
@nanal28 lanhsung cussss 🥰🥰,Positif
Kirimkan ini kesini dee 🤤🤤🤤 @rth_23,Positif
kena atih cek mun kd haur ,Netral
Sukses terus kakaaa,Positif
@rinellydh aammiinn..makasih adingg ❤️❤️,Positif
Aaaakhhh ka Elinnnn...sangat menginspirasi😘 @kawan_nasi,Positif
@enny_zisalma 28 sekilo mba..wah tetangga 😁😁..tp yg d car wash habis..ad drmh klo mau nanti diambilkan,Positif
😍nggih kaa deketan trnyta,Positif
Dmn ka alamatx ,Netral
@enny_zisalma lanjut dm mba la,Positif
masih belum berani buka mba..🙏🙏,Negatif
nah bs lah dikirim,Positif
bisa nggiii…bisa basi,Negatif
Asiikk bisa buat maksi naaah 🤣,Positif
@ayuemphe oh betul sekali ituuu wkkwkwkw 😋😋😋,Positif
Mau 2,Positif
@syifaendut boleh mba..kita sambung lwt dm mba 🥰,Positif
singkongnisasi 🤤,Netral
@shintaaaa_26 eyaaaaaa wkwkwkkww,Netral
Pasti hapuk bnr ini 🤤☺️,Positif
@kuliner.kalsel kd usah dimamah lagi 😁😁,Negatif
Kawa nih dikirim ke teweh 😍,Positif
klo be jnt/tiki kd tahan ka ae 😁😁🙏,Negatif
"Liin kurang panjaang vlognya, wkwkk.. aku betah loh nontonnya. Trus aku baru tau trnyata barabai itu penghasil pakasam terbaik, pantas enaaak 😭😭 ditungguuu vlog selanjutnyaaa 😘😘",Positif
itu 5 menit itungan panjang di vlog wkwk,Netral
Pake sendal swallow. Anti badai...,Positif
wkwkkwkwkwwk,Netral
ada utube nya lah mel kawan nasi ni? Mau subscribe😁,Positif
@agus.patahilah aku mencium ad bau bau waluh disini,Negatif
@kawan_nasi nyamaan ituuu 😊,Positif
@nennarahman.mci adiingg ❤️❤️,Positif
Jadi hndak pulkam nah @kawan_nasi 🥺,Positif
@nur.annisa92 😁😁😁 kami pulkam kd besinggahan.. Hdk pipis gen dtahani.. Karna takut koronces 😭😭,Negatif
@kawan_nasi iya am mbak ai.. stgh tahun kdd pulkam gra2 koronces 🥺,Negatif
"Baru tau ada @kawan_nasi dri reviewny ka @dilashop18sampit padahal asli urang banua cuma memang tinggalny dsampit... Semangat terus ka, kita nasional kan masakn banjar...😊😊😊",Positif
@warung.barabai hehe iya mba Mandaikan Indonesia 😁😁😁,Positif
Oemjiiiiii.. Cabenya bikin ngileeeeer.. Seger banget ngeliatnya🤤🤤🤤,Positif
@yuyutpw yuyuuutttt wkwkkwkwkwkw ayo ak ekspor cabe ke jepang 😁😁😁,Positif
Wah ada menu baru 😍,Positif
@sharingmakananenak iyap betullll 😁😁😁,Positif
"Panutan, selalu menghargai sekecil apapun rezeki yg datang.. semoga bisa menyusul jg ka.. 💕💕💕💕",Positif
@_mellaiskandar aamiin 🤲🏻🤲🏻,Positif
Dimana lokasix,Netral
Pengen ihhh nanti ya saye mewarung disono,Positif
depan smk telkom bjb mba 🙏🙏,Netral
@cibulkitchen gassssss sanakk rasaiakan 🔥🔥,Positif
@kawan_nasi Mksh infox,Positif
@wienx_nugroho gih sama-sama mbakuu 🤗🤗,Positif
"Hndak, gasan esok😁",Positif
@rabiathul_a cuss langsung kaa jangan dhalat 😁😁,Positif
@kawan_nasi hari ini order lagi dong via grabfood ayam panggang🤣,Positif
Wihi mau mampir kena..,Positif
@triegulali cuss langsunggg 🤗🤗🤗,Positif
di rebatig carwash jl kaca piring 10 sebrang smk telkom bjb. buka dari hari senin-sabtu,Netral
Cuss @nabilahidayati_,Positif
@jannatunniemah4492 ditunggu kedatangannya kaa 🥰,Positif
Enak banget aku nyobain tdi😁,Positif
@rabiathul_a uwaaa.. terimakasih banyak mba udah nyobain menu barunya kawan nasi😍,Positif
Pengiriman dari mana ini bukan Banjarmasin?,Negatif
"@marsia_arya halo ka, kami pengiriman dari banjarbaru ya 😊",Positif
Intinya Kawan nasi ni virus makan banyakkkkk😂... sukses slaluuuuu makin berjaya laris manis nyam nyam lah Elin Shinta n kru kawan nasi ❤️❤️...Aamiin,Positif
@ira_mentayani aamiin makasih ka iraa 🥰🥰🥰,Positif
Mauuuuuu ka,Positif
Kesampean... yakinnn,Positif
@mendyways aamiin😍,Positif
@kawan_nasi terimakasih temanku yg hits..ak menyayangimu..sarangee ❤️❤️,Positif
@w_astarina capcus langsung chat admin adingg,Positif
Amazing,Positif
buka kah? ,Netral
Mun ka Elin yg bermimpi pasti kesampaian pang.. amiin!! 😇🙇‍♀️,Positif
Insya Allah bisaaa...,Positif
@nonaherlina_4 ading sayaangg tengkyu buat supportnya..doakan ka elin ya..nanti ading jd brand ambasadornya wkwkkwkww,Positif
@mendyways bepadah dlu lah bila imak hdk singgah..nyawa makan kd betakar biasanya..jd nda harus besiap dlu kaya urg aruhan 🤣🤣🤣,Positif
@jerrybangsawan 🥰🥰🥰 mohon doanya mas 😇😇,Positif
@irasetianisa bisaa aammminnn 🤗🤗😚😚,Positif
Sholawatin bund❤️,Positif
@tenteg11 weeiittssss @cibulkitchen panutankoeee 😇😇😇,Positif
"Enggak liar kak, gas troos",Positif
insyaallah bisa dibarengi dengan penanaman pohonnya,Positif
@jsbella_ oh benar.. belakang pabrik kebun tiwadak ya cin 😅😅😅,Positif
@arinkhairina gassss arrrinnnnn..nanti ak main k bdg kita ngobrol2 soal usaha 😘😘😘,Positif
Pasti bisa ka... 💕💕💕💕💕,Positif
@_mellaiskandar bismillah ya sayangg..doakan 💜💜💜,Positif
kdd yg bekulitnya lagi tiwadak 😂,Negatif
wkwkwkkw meolah kebun tiwadak kami nah 🤣🤣,Netral
bisa kirim2 kan ka?,Positif
Kd nyangka dapat hampir 5000 bungkus di kateringan ja kalo mesan 1000 porsi ja bisa 20 jutaan 😭 salut bgt kak semoga usaha pian berkah @aesti.elin,Positif
@gabyayyyyy aamiin semoga doanya kembali ke pian ❤️alhamdulillah rezeki dari allah berkat org² baik bisa sedikit membantu tenaga buat para korban 😊🙏🏻,Positif
"@gabyayyyyy halo sayangg..terimakasih banyakk..emang dari awal dan sdh kebiasaan, tdk ad azas jual beli..jd berapa donasi, dana itu yg diolah kemudian didistribusikan..semakin murah bahan baku, semakin banyak yg dpt disalurkan 🥰🥰🥰 aammiinn aammiinn ya Allah berkah dunia akherat..🙏🙏 ading sehat2 yaa sekeluarga 😇😇",Positif
Brp mbak 1bngkus x,Netral
@sulistheaaza sudah saya dm untuk daftar harganya ya mba😊,Positif
mbak dimana gerainya /tokonya ?  berapa harga nya ya .saya di martapura .Tadi dikasih kawan tapi pengen beli sdr .,Positif
"@ibunya_hasna_huda selamat pagi ibu, ibu bisa hub wa kami di 085821238882 ya bu😊🙏",Positif
Gassskeun liiin 🔥🔥🔥,Positif
Kereenn banaarr kaaa Eliinn ❤️❤️❤️❤️,Positif
Mauu dong kaka jd resellee mandai😍,Positif
Manteeb,Positif
Barakallah 😍😍😍,Positif
@bang_qomal *salim sama suhu*,Positif
@wndwhdh aammiinn..makasih kaka 😍😍,Positif
@popynovelita salah ig kan guehh 😂😂,Negatif
TOP 👏🙌👍🏼,Positif
@teukutrisnaaa thank you brader 🙏🙏,Positif
Brp hrgnya?,Netral
Mantul mantap banar tim nya belalah meandak mandai,Positif
@cibulkitchen masih banyak foto2 daebak lainnya..tolong di love ya 😂😂😂,Positif
😂 di atas banyu belarut adalah fto nya,Netral
@jejualan.mameeeh ada..hanyar di aplud..tolong di love wkwkwkkwkwkwkw,Positif
@aesti.elin balom larut itu🤣 kawan nasi jgn larut dibawa ombak gin.. cukup hati😌,Positif
@jejualan.mameeeh salah komen tangguh ulun nah 🤣🤣,Positif
@aesti.elin wkwkwk😂🤣 raum,Negatif
PO kh ini min?,Netral
"@indraijo kd kaa, boleh pian dm ya kaa untuk info selanjutnya🥰🥰",Positif
seperti elin aesti yg merindukan mimin cantik ini 😘,Positif
Jasa poto produknya kaka,Netral
@alice.shintaa iyuh vanget,Negatif
@tya_merchelia hadir kaka?,Netral
@tya_merchelia silahkan kaka kita bantu..mun kd haur ya..,Positif
@noviaafebr nah tukang kodaknya,Netral
antari olongs,Netral
@jejualan.mameeeh lanji banget dehh..anda tinggal buka kulkas andaahh ada kawan nasi disanaa,Negatif
@kawan_nasi mau sma nasi yg dtudung saji😂,Positif
Mandai ternyaman 😍 pas gasan buhan covid biar hidup liyur,Positif
@tenteg11 bujur banarrrr...apalagi pakai daging sapinya @cibulkitchen ..auto nambahh...kd sah bediet2 an dlu kita pandemi ni..musuh harat 🔥🔥,Positif
@jejualan.mameeeh kd sah yg di tudung saji laa..kaharatan..di tudung panci ja hokon laa 😘😘,Negatif
@kawan_nasi musuh harat bawa bememakan dulu,Netral
@popynovelita ayo cepat kita kaburaannnn,Positif
Yeaaaaayyy congrats kak Elin dan kawan Nasi.. Terbaiiikk pokok nyaa.. ❤️❤️❤️,Positif
@kawan_nasi mantap kka,Positif
"Wah, keren banget kaka. Sukses terus 😇",Positif
@teukutrisnaaa tengkyyuu braderr 🙏🙏,Positif
@nennarahman ading sayang terimakasih...sehat2 selalu ya 🥰🥰,Positif
@ceriakurir.id yuks bisa yukkss 🔥🔥🔥,Positif
@nonaherlina_4 addingg terimakasih suppoortnyaa..doakan kawan nasi selalu ya..ading sehat2 💜💜,Positif
@popynovelita yukss bisa yukkss 🔥🔥🔥,Positif
@kawan_nasi Amiien kaa.. Pian jua lah sekeluarga dan kru kawan nasi sehat2 selaluu.. 😇🙇‍♀️🤗,Positif
"Colek kang @kangharnaz , @tintin.traveldesigner @komunitasjalansutra",Netral
dah masuk Bandara sekalinya,Netral
@jokosantoso168 @kangharnaz @komunitasjalansutra keren! 😍,Positif
😂 setua itu jua pertemanan goib ini🔥,Netral
Alamat nya dmn kaaa?,Netral
@kusumaningsasi1576 ulun dm ya kaa alamatnyaa,Netral
@ayumdaa naaa kereenn mandai wahiniiii😍😍😍😍,Positif
@meyshayeppa umaayy mantapx... Adkh inya bejul online,Positif
@ayumdaa coba d tanyakan d ig ny.. Bisa ad fng,Positif
@meyshayeppa izin menjawab mba 🥰🥰 kita ad jual via shopee atau DM atau WA dan sdh dikirim ke seluruh Indonesia 😇😇,Positif
@jejualan.mameeeh tuha banaarrr bakawanan sudah 😂😂,Netral
@ayumdaa naaa bisa pesan lwt shopee km... 😍😍😍,Positif
@kawan_nasi ap nama shopeex...,Netral
@meyshayeppa Mantap cooyyy,Positif
Adakah ka mandai nya,Positif
"@santiedwiiee halo ka, kita ready setiap hari di reseller dan setiap senin-sabtu di dapur Kawanasi. Boleh dm kita langsung ya Ka 🙏🤗",Positif
makasih❤️❤️,Positif
Kuuur sumangat bangkit yu umkm,Positif
@supardi_afriyanto hihi mksi bapaak😁,Positif
@tenteg11 yukkk cepat pulih cepat pulih🙌,Positif
@edyaa_rahmah semangat membagi kakaa🔥,Positif
Mau dong kk jadi reselle5nya,Positif
Mantaaapp,Positif
@rayen_snack makasi kaa😍,Positif
mbawa idola ❤️❤️❤️,Positif
@jokosantoso168 boleh kaa saya teruskan di message yaa,Positif
Brp hrgnya,Netral
@ipey1997 boleh lanjut di dm ya kaa☺🙏,Positif
Ka bisa kirim ke Taiwan,Positif
"@kimyuma_ halo kaa, bisa lanjut di dm ya kaa",Positif
